24984	1	1	u,Маг. Защ. +18. Скорость +7.\0	u,Урон от физических умений +93. Расход MP -3%.\0	u,Сила Крит. Атк. +41,3. Шанс Крит. Атк. Магией +2.\0
26698	3	2	u,Маг. Атк. +19,12\0	u,Точность +1,704\0	a,
26699	3	2	u,Маг. Атк. +19,12\0	u,Крит. +12,75\0	a,
26700	3	2	u,Восстановление HP +0,185\0	u,Восстановление MP +0,08\0	a,
26701	3	2	u,Восстановление HP +0,185\0	u,Восстановление CP +0,185\0	a,
26702	3	2	u,Восстановление HP +0,185\0	u,Уворот +1,1755\0	a,
26703	3	2	u,Восстановление HP +0,185\0	u,Точность +1,704\0	a,
26704	3	2	u,Восстановление HP +0,185\0	u,Крит. +12,75\0	a,
26705	3	2	u,Восстановление MP +0,08\0	u,Восстановление CP +0,185\0	a,
26706	3	2	u,Восстановление MP +0,08\0	u,Уворот +1,1755\0	a,
26707	3	2	u,Восстановление MP +0,08\0	u,Точность +1,704\0	a,
26708	3	2	u,Восстановление MP +0,08\0	u,Крит. +12,75\0	a,
26709	3	2	u,Восстановление CP +0,185\0	u,Уворот +1,1755\0	a,
26710	3	2	u,Восстановление CP +0,185\0	u,Точность +1,704\0	a,
26711	3	2	u,Восстановление CP +0,185\0	u,Крит. +12,75\0	a,
26712	3	2	u,Уворот +1,1755\0	u,Точность +1,704\0	a,
26713	3	2	u,Уворот +1,1755\0	u,Крит. +12,75\0	a,
26714	3	2	u,Точность +1,704\0	u,Крит. +12,75\0	a,
26715	3	2	u,Физ. Защ. +39,29\0	a,	a,
26716	3	2	u,Маг. Защ. +35,56\0	a,	a,
26717	3	2	u,Макс. HP +102,7\0	a,	a,
26718	3	2	u,Макс. MP +45,28\0	a,	a,
26719	3	2	u,Макс. CP +202,18\0	a,	a,
26720	3	2	u,Физ. Атк. +43,86\0	a,	a,
26721	3	2	u,Маг. Атк. +55,19\0	a,	a,
26722	3	2	u,Восстановление HP +0,39\0	a,	a,
26723	3	2	u,Восстановление MP +0,17\0	a,	a,
26724	3	2	u,Восстановление CP +0,39\0	a,	a,
26725	3	2	u,Уворот +2,351\0	a,	a,
26726	3	2	u,Точность +3,408\0	a,	a,
26727	3	2	u,Крит. +25,5\0	a,	a,
26728	3	2	u,Физ. Защ. +19,645\0	u,Маг. Защ. +17,78\0	a,
26729	3	2	u,Физ. Защ. +19,645\0	u,Макс. HP +51,35\0	a,
26730	3	2	u,Физ. Защ. +19,645\0	u,Макс. MP +22,64\0	a,
26731	3	2	u,Физ. Защ. +19,645\0	u,Макс. CP +101,09\0	a,
26732	3	2	u,Физ. Защ. +19,645\0	u,Физ. Атк. +21,93\0	a,
26733	3	2	u,Физ. Защ. +19,645\0	u,Маг. Атк. +27,595\0	a,
26734	3	2	u,Физ. Защ. +19,645\0	u,Восстановление HP +0,195\0	a,
26735	3	2	u,Физ. Защ. +19,645\0	u,Восстановление MP +0,085\0	a,
26736	3	2	u,Физ. Защ. +19,645\0	u,Восстановление CP +0,195\0	a,
26737	3	2	u,Физ. Защ. +19,645\0	u,Уворот +1,1755\0	a,
26738	3	2	u,Физ. Защ. +19,645\0	u,Точность +1,704\0	a,
26739	3	2	u,Физ. Защ. +19,645\0	u,Крит. +12,75\0	a,
26740	3	2	u,Маг. Защ. +17,78\0	u,Макс. HP +51,35\0	a,
26741	3	2	u,Маг. Защ. +17,78\0	u,Макс. MP +22,64\0	a,
26742	3	2	u,Маг. Защ. +17,78\0	u,Макс. CP +101,09\0	a,
26743	3	2	u,Маг. Защ. +17,78\0	u,Физ. Атк. +21,93\0	a,
26744	3	2	u,Маг. Защ. +17,78\0	u,Маг. Атк. +27,595\0	a,
26745	3	2	u,Маг. Защ. +17,78\0	u,Восстановление HP +0,195\0	a,
26746	3	2	u,Маг. Защ. +17,78\0	u,Восстановление MP +0,085\0	a,
26747	3	2	u,Маг. Защ. +17,78\0	u,Восстановление CP +0,195\0	a,
26748	3	2	u,Маг. Защ. +17,78\0	u,Уворот +1,1755\0	a,
26749	3	2	u,Маг. Защ. +17,78\0	u,Точность +1,704\0	a,
26750	3	2	u,Маг. Защ. +17,78\0	u,Крит. +12,75\0	a,
26751	3	2	u,Макс. HP +51,35\0	u,Макс. MP +22,64\0	a,
26752	3	2	u,Макс. HP +51,35\0	u,Макс. CP +101,09\0	a,
26753	3	2	u,Макс. HP +51,35\0	u,Физ. Атк. +21,93\0	a,
26754	3	2	u,Макс. HP +51,35\0	u,Маг. Атк. +27,595\0	a,
26755	3	2	u,Макс. HP +51,35\0	u,Восстановление HP +0,195\0	a,
26756	3	2	u,Макс. HP +51,35\0	u,Восстановление MP +0,085\0	a,
26757	3	2	u,Макс. HP +51,35\0	u,Восстановление CP +0,195\0	a,
26758	3	2	u,Макс. HP +51,35\0	u,Уворот +1,1755\0	a,
26759	3	2	u,Макс. HP +51,35\0	u,Точность +1,704\0	a,
26760	3	2	u,Макс. HP +51,35\0	u,Крит. +12,75\0	a,
26761	3	2	u,Макс. MP +22,64\0	u,Макс. CP +101,09\0	a,
26762	3	2	u,Макс. MP +22,64\0	u,Физ. Атк. +21,93\0	a,
26763	3	2	u,Макс. MP +22,64\0	u,Маг. Атк. +27,595\0	a,
26764	3	2	u,Макс. MP +22,64\0	u,Восстановление HP +0,195\0	a,
26765	3	2	u,Макс. MP +22,64\0	u,Восстановление MP +0,085\0	a,
26766	3	2	u,Макс. MP +22,64\0	u,Восстановление CP +0,195\0	a,
26767	3	2	u,Макс. MP +22,64\0	u,Уворот +1,1755\0	a,
26768	3	2	u,Макс. MP +22,64\0	u,Точность +1,704\0	a,
26769	3	2	u,Макс. MP +22,64\0	u,Крит. +12,75\0	a,
26770	3	2	u,Макс. CP +101,09\0	u,Физ. Атк. +21,93\0	a,
26771	3	2	u,Макс. CP +101,09\0	u,Маг. Атк. +27,595\0	a,
26772	3	2	u,Макс. CP +101,09\0	u,Восстановление HP +0,195\0	a,
26773	3	2	u,Макс. CP +101,09\0	u,Восстановление MP +0,085\0	a,
26774	3	2	u,Макс. CP +101,09\0	u,Восстановление CP +0,195\0	a,
26775	3	2	u,Макс. CP +101,09\0	u,Уворот +1,1755\0	a,
26776	3	2	u,Макс. CP +101,09\0	u,Точность +1,704\0	a,
26777	3	2	u,Макс. CP +101,09\0	u,Крит. +12,75\0	a,
26778	3	2	u,Физ. Атк. +21,93\0	u,Маг. Атк. +27,595\0	a,
26779	3	2	u,Физ. Атк. +21,93\0	u,Восстановление HP +0,195\0	a,
26780	3	2	u,Физ. Атк. +21,93\0	u,Восстановление MP +0,085\0	a,
26781	3	2	u,Физ. Атк. +21,93\0	u,Восстановление CP +0,195\0	a,
26782	3	2	u,Физ. Атк. +21,93\0	u,Уворот +1,1755\0	a,
26783	3	2	u,Физ. Атк. +21,93\0	u,Точность +1,704\0	a,
26784	3	2	u,Физ. Атк. +21,93\0	u,Крит. +12,75\0	a,
26785	3	2	u,Маг. Атк. +27,595\0	u,Восстановление HP +0,195\0	a,
26786	3	2	u,Маг. Атк. +27,595\0	u,Восстановление MP +0,085\0	a,
26787	3	2	u,Маг. Атк. +27,595\0	u,Восстановление CP +0,195\0	a,
26788	3	2	u,Маг. Атк. +27,595\0	u,Уворот +1,1755\0	a,
26789	3	2	u,Маг. Атк. +27,595\0	u,Точность +1,704\0	a,
26790	3	2	u,Маг. Атк. +27,595\0	u,Крит. +12,75\0	a,
26791	3	2	u,Восстановление HP +0,195\0	u,Восстановление MP +0,085\0	a,
26792	3	2	u,Восстановление HP +0,195\0	u,Восстановление CP +0,195\0	a,
26793	3	2	u,Восстановление HP +0,195\0	u,Уворот +1,1755\0	a,
26794	3	2	u,Восстановление HP +0,195\0	u,Точность +1,704\0	a,
26795	3	2	u,Восстановление HP +0,195\0	u,Крит. +12,75\0	a,
26796	3	2	u,Восстановление MP +0,085\0	u,Восстановление CP +0,195\0	a,
26797	3	2	u,Восстановление MP +0,085\0	u,Уворот +1,1755\0	a,
26798	3	2	u,Восстановление MP +0,085\0	u,Точность +1,704\0	a,
26799	3	2	u,Восстановление MP +0,085\0	u,Крит. +12,75\0	a,
26800	3	2	u,Восстановление CP +0,195\0	u,Уворот +1,1755\0	a,
26801	3	2	u,Восстановление CP +0,195\0	u,Точность +1,704\0	a,
26802	3	2	u,Восстановление CP +0,195\0	u,Крит. +12,75\0	a,
26803	3	2	u,Уворот +1,1755\0	u,Точность +1,704\0	a,
26804	3	2	u,Уворот +1,1755\0	u,Крит. +12,75\0	a,
26805	3	2	u,Точность +1,704\0	u,Крит. +12,75\0	a,
26806	3	2	u,Физ. Защ. +43,45\0	a,	a,
26807	3	2	u,Маг. Защ. +40,11\0	a,	a,
26808	3	2	u,Макс. HP +107,83\0	a,	a,
26809	3	2	u,Макс. MP +48,34\0	a,	a,
26810	3	2	u,Макс. CP +212,29\0	a,	a,
26811	3	2	u,Физ. Атк. +52,23\0	a,	a,
26812	3	2	u,Маг. Атк. +67,53\0	a,	a,
26813	3	2	u,Восстановление HP +0,4\0	a,	a,
26814	3	2	u,Восстановление MP +0,17\0	a,	a,
26815	3	2	u,Восстановление CP +0,4\0	a,	a,
26816	3	2	u,Уворот +2,351\0	a,	a,
26817	3	2	u,Точность +3,408\0	a,	a,
26818	3	2	u,Крит. +25,5\0	a,	a,
26819	3	2	u,Физ. Защ. +21,725\0	u,Маг. Защ. +20,005\0	a,
26820	3	2	u,Физ. Защ. +21,725\0	u,Макс. HP +53,915\0	a,
26821	3	2	u,Физ. Защ. +21,725\0	u,Макс. MP +24,17\0	a,
26822	3	2	u,Физ. Защ. +21,725\0	u,Макс. CP +106,145\0	a,
26823	3	2	u,Физ. Защ. +21,725\0	u,Физ. Атк. +26,115\0	a,
26824	3	2	u,Физ. Защ. +21,725\0	u,Маг. Атк. +33,765\0	a,
26825	3	2	u,Физ. Защ. +21,725\0	u,Восстановление HP +0,2\0	a,
26826	3	2	u,Физ. Защ. +21,725\0	u,Восстановление MP +0,085\0	a,
26827	3	2	u,Физ. Защ. +21,725\0	u,Восстановление CP +0,2\0	a,
26828	3	2	u,Физ. Защ. +21,725\0	u,Уворот +1,1755\0	a,
26829	3	2	u,Физ. Защ. +21,725\0	u,Точность +1,704\0	a,
26830	3	2	u,Физ. Защ. +21,725\0	u,Крит. +12,75\0	a,
26831	3	2	u,Маг. Защ. +20,005\0	u,Макс. HP +53,915\0	a,
26832	3	2	u,Маг. Защ. +20,005\0	u,Макс. MP +24,17\0	a,
26833	3	2	u,Маг. Защ. +20,005\0	u,Макс. CP +106,145\0	a,
26834	3	2	u,Маг. Защ. +20,005\0	u,Физ. Атк. +26,115\0	a,
26835	3	2	u,Маг. Защ. +20,005\0	u,Маг. Атк. +33,765\0	a,
26836	3	2	u,Маг. Защ. +20,005\0	u,Восстановление HP +0,2\0	a,
26837	3	2	u,Маг. Защ. +20,005\0	u,Восстановление MP +0,085\0	a,
26838	3	2	u,Маг. Защ. +20,005\0	u,Восстановление CP +0,2\0	a,
26839	3	2	u,Маг. Защ. +20,005\0	u,Уворот +1,1755\0	a,
26840	3	2	u,Маг. Защ. +20,005\0	u,Точность +1,704\0	a,
26841	3	2	u,Маг. Защ. +20,005\0	u,Крит. +12,75\0	a,
26842	3	2	u,Макс. HP +53,915\0	u,Макс. MP +24,17\0	a,
26843	3	2	u,Макс. HP +53,915\0	u,Макс. CP +106,145\0	a,
26844	3	2	u,Макс. HP +53,915\0	u,Физ. Атк. +26,115\0	a,
26845	3	2	u,Макс. HP +53,915\0	u,Маг. Атк. +33,765\0	a,
26846	3	2	u,Макс. HP +53,915\0	u,Восстановление HP +0,2\0	a,
26847	3	2	u,Макс. HP +53,915\0	u,Восстановление MP +0,085\0	a,
26848	3	2	u,Макс. HP +53,915\0	u,Восстановление CP +0,2\0	a,
26849	3	2	u,Макс. HP +53,915\0	u,Уворот +1,1755\0	a,
26850	3	2	u,Макс. HP +53,915\0	u,Точность +1,704\0	a,
26851	3	2	u,Макс. HP +53,915\0	u,Крит. +12,75\0	a,
26852	3	2	u,Макс. MP +24,17\0	u,Макс. CP +106,145\0	a,
26853	3	2	u,Макс. MP +24,17\0	u,Физ. Атк. +26,115\0	a,
26854	3	2	u,Макс. MP +24,17\0	u,Маг. Атк. +33,765\0	a,
26855	3	2	u,Макс. MP +24,17\0	u,Восстановление HP +0,2\0	a,
26856	3	2	u,Макс. MP +24,17\0	u,Восстановление MP +0,085\0	a,
26857	3	2	u,Макс. MP +24,17\0	u,Восстановление CP +0,2\0	a,
26858	3	2	u,Макс. MP +24,17\0	u,Уворот +1,1755\0	a,
26859	3	2	u,Макс. MP +24,17\0	u,Точность +1,704\0	a,
26860	3	2	u,Макс. MP +24,17\0	u,Крит. +12,75\0	a,
26861	3	2	u,Макс. CP +106,145\0	u,Физ. Атк. +26,115\0	a,
26862	3	2	u,Макс. CP +106,145\0	u,Маг. Атк. +33,765\0	a,
26863	3	2	u,Макс. CP +106,145\0	u,Восстановление HP +0,2\0	a,
26864	3	2	u,Макс. CP +106,145\0	u,Восстановление MP +0,085\0	a,
26865	3	2	u,Макс. CP +106,145\0	u,Восстановление CP +0,2\0	a,
26866	3	2	u,Макс. CP +106,145\0	u,Уворот +1,1755\0	a,
26867	3	2	u,Макс. CP +106,145\0	u,Точность +1,704\0	a,
26868	3	2	u,Макс. CP +106,145\0	u,Крит. +12,75\0	a,
26869	3	2	u,Физ. Атк. +26,115\0	u,Маг. Атк. +33,765\0	a,
26870	3	2	u,Физ. Атк. +26,115\0	u,Восстановление HP +0,2\0	a,
26871	3	2	u,Физ. Атк. +26,115\0	u,Восстановление MP +0,085\0	a,
26872	3	2	u,Физ. Атк. +26,115\0	u,Восстановление CP +0,2\0	a,
26873	3	2	u,Физ. Атк. +26,115\0	u,Уворот +1,1755\0	a,
26874	3	2	u,Физ. Атк. +26,115\0	u,Точность +1,704\0	a,
26875	3	2	u,Физ. Атк. +26,115\0	u,Крит. +12,75\0	a,
26876	3	2	u,Маг. Атк. +33,765\0	u,Восстановление HP +0,2\0	a,
26877	3	2	u,Маг. Атк. +33,765\0	u,Восстановление MP +0,085\0	a,
26878	3	2	u,Маг. Атк. +33,765\0	u,Восстановление CP +0,2\0	a,
26879	3	2	u,Маг. Атк. +33,765\0	u,Уворот +1,1755\0	a,
26880	3	2	u,Маг. Атк. +33,765\0	u,Точность +1,704\0	a,
26881	3	2	u,Маг. Атк. +33,765\0	u,Крит. +12,75\0	a,
26882	3	2	u,Восстановление HP +0,2\0	u,Восстановление MP +0,085\0	a,
26883	3	2	u,Восстановление HP +0,2\0	u,Восстановление CP +0,2\0	a,
26884	3	2	u,Восстановление HP +0,2\0	u,Уворот +1,1755\0	a,
26885	3	2	u,Восстановление HP +0,2\0	u,Точность +1,704\0	a,
26886	3	2	u,Восстановление HP +0,2\0	u,Крит. +12,75\0	a,
26887	3	2	u,Восстановление MP +0,085\0	u,Восстановление CP +0,2\0	a,
26888	3	2	u,Восстановление MP +0,085\0	u,Уворот +1,1755\0	a,
26889	3	2	u,Восстановление MP +0,085\0	u,Точность +1,704\0	a,
26890	3	2	u,Восстановление MP +0,085\0	u,Крит. +12,75\0	a,
26891	3	2	u,Восстановление CP +0,2\0	u,Уворот +1,1755\0	a,
26892	3	2	u,Восстановление CP +0,2\0	u,Точность +1,704\0	a,
26893	3	2	u,Восстановление CP +0,2\0	u,Крит. +12,75\0	a,
26894	3	2	u,Уворот +1,1755\0	u,Точность +1,704\0	a,
26895	3	2	u,Уворот +1,1755\0	u,Крит. +12,75\0	a,
26896	3	2	u,Точность +1,704\0	u,Крит. +12,75\0	a,
26897	4	2	u,Физ. Защ. +36,57\0	a,	a,
26898	4	2	u,Маг. Защ. +31,53\0	a,	a,
26899	4	2	u,Макс. HP +111,7\0	a,	a,
26900	4	2	u,Макс. MP +45,02\0	a,	a,
26901	4	2	u,Макс. CP +219,91\0	a,	a,
26902	4	2	u,Физ. Атк. +38,57\0	a,	a,
26903	4	2	u,Маг. Атк. +46,15\0	a,	a,
26904	4	2	u,Восстановление HP +0,44\0	a,	a,
26905	4	2	u,Восстановление MP +0,19\0	a,	a,
26906	4	2	u,Восстановление CP +0,44\0	a,	a,
26907	4	2	u,Уворот +2,821\0	a,	a,
26908	4	2	u,Точность +4,113\0	a,	a,
26909	4	2	u,Крит. +30,8\0	a,	a,
26910	4	2	u,Физ. Защ. +18,285\0	u,Маг. Защ. +15,765\0	a,
26911	4	2	u,Физ. Защ. +18,285\0	u,Макс. HP +55,85\0	a,
26912	4	2	u,Физ. Защ. +18,285\0	u,Макс. MP +22,51\0	a,
26913	4	2	u,Физ. Защ. +18,285\0	u,Макс. CP +109,955\0	a,
26914	4	2	u,Физ. Защ. +18,285\0	u,Физ. Атк. +19,285\0	a,
26915	4	2	u,Физ. Защ. +18,285\0	u,Маг. Атк. +23,075\0	a,
26916	4	2	u,Физ. Защ. +18,285\0	u,Восстановление HP +0,22\0	a,
26917	4	2	u,Физ. Защ. +18,285\0	u,Восстановление MP +0,095\0	a,
26918	4	2	u,Физ. Защ. +18,285\0	u,Восстановление CP +0,22\0	a,
26919	4	2	u,Физ. Защ. +18,285\0	u,Уворот +1,4105\0	a,
26920	4	2	u,Физ. Защ. +18,285\0	u,Точность +2,0565\0	a,
26921	4	2	u,Физ. Защ. +18,285\0	u,Крит. +15,4\0	a,
26922	4	2	u,Маг. Защ. +15,765\0	u,Макс. HP +55,85\0	a,
26923	4	2	u,Маг. Защ. +15,765\0	u,Макс. MP +22,51\0	a,
26924	4	2	u,Маг. Защ. +15,765\0	u,Макс. CP +109,955\0	a,
26925	4	2	u,Маг. Защ. +15,765\0	u,Физ. Атк. +19,285\0	a,
26926	4	2	u,Маг. Защ. +15,765\0	u,Маг. Атк. +23,075\0	a,
26927	4	2	u,Маг. Защ. +15,765\0	u,Восстановление HP +0,22\0	a,
26928	4	2	u,Маг. Защ. +15,765\0	u,Восстановление MP +0,095\0	a,
26929	4	2	u,Маг. Защ. +15,765\0	u,Восстановление CP +0,22\0	a,
26930	4	2	u,Маг. Защ. +15,765\0	u,Уворот +1,4105\0	a,
26931	4	2	u,Маг. Защ. +15,765\0	u,Точность +2,0565\0	a,
26932	4	2	u,Маг. Защ. +15,765\0	u,Крит. +15,4\0	a,
26933	4	2	u,Макс. HP +55,85\0	u,Макс. MP +22,51\0	a,
26934	4	2	u,Макс. HP +55,85\0	u,Макс. CP +109,955\0	a,
26935	4	2	u,Макс. HP +55,85\0	u,Физ. Атк. +19,285\0	a,
26936	4	2	u,Макс. HP +55,85\0	u,Маг. Атк. +23,075\0	a,
26937	4	2	u,Макс. HP +55,85\0	u,Восстановление HP +0,22\0	a,
26938	4	2	u,Макс. HP +55,85\0	u,Восстановление MP +0,095\0	a,
26939	4	2	u,Макс. HP +55,85\0	u,Восстановление CP +0,22\0	a,
26940	4	2	u,Макс. HP +55,85\0	u,Уворот +1,4105\0	a,
26941	4	2	u,Макс. HP +55,85\0	u,Точность +2,0565\0	a,
26942	4	2	u,Макс. HP +55,85\0	u,Крит. +15,4\0	a,
26943	4	2	u,Макс. MP +22,51\0	u,Макс. CP +109,955\0	a,
26944	4	2	u,Макс. MP +22,51\0	u,Физ. Атк. +19,285\0	a,
26945	4	2	u,Макс. MP +22,51\0	u,Маг. Атк. +23,075\0	a,
26946	4	2	u,Макс. MP +22,51\0	u,Восстановление HP +0,22\0	a,
26947	4	2	u,Макс. MP +22,51\0	u,Восстановление MP +0,095\0	a,
26948	4	2	u,Макс. MP +22,51\0	u,Восстановление CP +0,22\0	a,
26949	4	2	u,Макс. MP +22,51\0	u,Уворот +1,4105\0	a,
26950	4	2	u,Макс. MP +22,51\0	u,Точность +2,0565\0	a,
26951	4	2	u,Макс. MP +22,51\0	u,Крит. +15,4\0	a,
26952	4	2	u,Макс. CP +109,955\0	u,Физ. Атк. +19,285\0	a,
26953	4	2	u,Макс. CP +109,955\0	u,Маг. Атк. +23,075\0	a,
26954	4	2	u,Макс. CP +109,955\0	u,Восстановление HP +0,22\0	a,
26955	4	2	u,Макс. CP +109,955\0	u,Восстановление MP +0,095\0	a,
26956	4	2	u,Макс. CP +109,955\0	u,Восстановление CP +0,22\0	a,
26957	4	2	u,Макс. CP +109,955\0	u,Уворот +1,4105\0	a,
26958	4	2	u,Макс. CP +109,955\0	u,Точность +2,0565\0	a,
26959	4	2	u,Макс. CP +109,955\0	u,Крит. +15,4\0	a,
26960	4	2	u,Физ. Атк. +19,285\0	u,Маг. Атк. +23,075\0	a,
26961	4	2	u,Физ. Атк. +19,285\0	u,Восстановление HP +0,22\0	a,
26962	4	2	u,Физ. Атк. +19,285\0	u,Восстановление MP +0,095\0	a,
26963	4	2	u,Физ. Атк. +19,285\0	u,Восстановление CP +0,22\0	a,
26964	4	2	u,Физ. Атк. +19,285\0	u,Уворот +1,4105\0	a,
26965	4	2	u,Физ. Атк. +19,285\0	u,Точность +2,0565\0	a,
26966	4	2	u,Физ. Атк. +19,285\0	u,Крит. +15,4\0	a,
26967	4	2	u,Маг. Атк. +23,075\0	u,Восстановление HP +0,22\0	a,
26968	4	2	u,Маг. Атк. +23,075\0	u,Восстановление MP +0,095\0	a,
26969	4	2	u,Маг. Атк. +23,075\0	u,Восстановление CP +0,22\0	a,
26970	4	2	u,Маг. Атк. +23,075\0	u,Уворот +1,4105\0	a,
26971	4	2	u,Маг. Атк. +23,075\0	u,Точность +2,0565\0	a,
26972	4	2	u,Маг. Атк. +23,075\0	u,Крит. +15,4\0	a,
26973	4	2	u,Восстановление HP +0,22\0	u,Восстановление MP +0,095\0	a,
26974	4	2	u,Восстановление HP +0,22\0	u,Восстановление CP +0,22\0	a,
26975	4	2	u,Восстановление HP +0,22\0	u,Уворот +1,4105\0	a,
26976	4	2	u,Восстановление HP +0,22\0	u,Точность +2,0565\0	a,
26977	4	2	u,Восстановление HP +0,22\0	u,Крит. +15,4\0	a,
26978	4	2	u,Восстановление MP +0,085\0	u,Восстановление CP +0,22\0	a,
26979	4	2	u,Восстановление MP +0,085\0	u,Уворот +1,4105\0	a,
26980	4	2	u,Восстановление MP +0,085\0	u,Точность +2,0565\0	a,
26981	4	2	u,Восстановление MP +0,085\0	u,Крит. +15,4\0	a,
26982	4	2	u,Восстановление CP +0,22\0	u,Уворот +1,4105\0	a,
26983	4	2	u,Восстановление CP +0,22\0	u,Точность +2,0565\0	a,
26984	4	2	u,Восстановление CP +0,22\0	u,Крит. +15,4\0	a,
26985	4	2	u,Уворот +1,4105\0	u,Точность +2,0565\0	a,
26986	4	2	u,Уворот +1,4105\0	u,Крит. +15,4\0	a,
26987	4	2	u,Точность +2,0565\0	u,Крит. +15,4\0	a,
26988	4	2	u,Физ. Защ. +47,14\0	a,	a,
26989	4	2	u,Маг. Защ. +42,67\0	a,	a,
26990	4	2	u,Макс. HP +121,95\0	a,	a,
26991	4	2	u,Макс. MP +53,77\0	a,	a,
26992	4	2	u,Макс. CP +240,09\0	a,	a,
26993	4	2	u,Физ. Атк. +52,93\0	a,	a,
26994	4	2	u,Маг. Атк. +66,61\0	a,	a,
26995	4	2	u,Восстановление HP +0,47\0	a,	a,
26996	4	2	u,Восстановление MP +0,2\0	a,	a,
26997	4	2	u,Восстановление CP +0,47\0	a,	a,
26998	4	2	u,Уворот +2,821\0	a,	a,
26999	4	2	u,Точность +4,113\0	a,	a,
27000	4	2	u,Крит. +30,8\0	a,	a,
27001	4	2	u,Физ. Защ. +23,57\0	u,Маг. Защ. +21,335\0	a,
27002	4	2	u,Физ. Защ. +23,57\0	u,Макс. HP +60,975\0	a,
27003	4	2	u,Физ. Защ. +23,57\0	u,Макс. MP +26,885\0	a,
27004	4	2	u,Физ. Защ. +23,57\0	u,Макс. CP +120,045\0	a,
27005	4	2	u,Физ. Защ. +23,57\0	u,Физ. Атк. +26,465\0	a,
27006	4	2	u,Физ. Защ. +23,57\0	u,Маг. Атк. +33,305\0	a,
27007	4	2	u,Физ. Защ. +23,57\0	u,Восстановление HP +0,235\0	a,
27008	4	2	u,Физ. Защ. +23,57\0	u,Восстановление MP +0,1\0	a,
27009	4	2	u,Физ. Защ. +23,57\0	u,Восстановление CP +0,235\0	a,
27010	4	2	u,Физ. Защ. +23,57\0	u,Уворот +1,4105\0	a,
27011	4	2	u,Физ. Защ. +23,57\0	u,Точность +2,0565\0	a,
27012	4	2	u,Физ. Защ. +23,57\0	u,Крит. +15,4\0	a,
27013	4	2	u,Маг. Защ. +21,335\0	u,Макс. HP +60,975\0	a,
27014	4	2	u,Маг. Защ. +21,335\0	u,Макс. MP +26,885\0	a,
27015	4	2	u,Маг. Защ. +21,335\0	u,Макс. CP +120,045\0	a,
27016	4	2	u,Маг. Защ. +21,335\0	u,Физ. Атк. +26,465\0	a,
27017	4	2	u,Маг. Защ. +21,335\0	u,Маг. Атк. +33,305\0	a,
27018	4	2	u,Маг. Защ. +21,335\0	u,Восстановление HP +0,235\0	a,
27019	4	2	u,Маг. Защ. +21,335\0	u,Восстановление MP +0,1\0	a,
27020	4	2	u,Маг. Защ. +21,335\0	u,Восстановление CP +0,235\0	a,
27021	4	2	u,Маг. Защ. +21,335\0	u,Уворот +1,4105\0	a,
27022	4	2	u,Маг. Защ. +21,335\0	u,Точность +2,0565\0	a,
27023	4	2	u,Маг. Защ. +21,335\0	u,Крит. +15,4\0	a,
27024	4	2	u,Макс. HP +60,975\0	u,Макс. MP +26,885\0	a,
27025	4	2	u,Макс. HP +60,975\0	u,Макс. CP +120,045\0	a,
27026	4	2	u,Макс. HP +60,975\0	u,Физ. Атк. +26,465\0	a,
27027	4	2	u,Макс. HP +60,975\0	u,Маг. Атк. +33,305\0	a,
27028	4	2	u,Макс. HP +60,975\0	u,Восстановление HP +0,235\0	a,
27029	4	2	u,Макс. HP +60,975\0	u,Восстановление MP +0,1\0	a,
27030	4	2	u,Макс. HP +60,975\0	u,Восстановление CP +0,235\0	a,
27031	4	2	u,Макс. HP +60,975\0	u,Уворот +1,4105\0	a,
27032	4	2	u,Макс. HP +60,975\0	u,Точность +2,0565\0	a,
27033	4	2	u,Макс. HP +60,975\0	u,Крит. +15,4\0	a,
27034	4	2	u,Макс. MP +26,885\0	u,Макс. CP +120,045\0	a,
27035	4	2	u,Макс. MP +26,885\0	u,Физ. Атк. +26,465\0	a,
27036	4	2	u,Макс. MP +26,885\0	u,Маг. Атк. +33,305\0	a,
27037	4	2	u,Макс. MP +26,885\0	u,Восстановление HP +0,235\0	a,
27038	4	2	u,Макс. MP +26,885\0	u,Восстановление MP +0,1\0	a,
27039	4	2	u,Макс. MP +26,885\0	u,Восстановление CP +0,235\0	a,
27040	4	2	u,Макс. MP +26,885\0	u,Уворот +1,4105\0	a,
27041	4	2	u,Макс. MP +26,885\0	u,Точность +2,0565\0	a,
27042	4	2	u,Макс. MP +26,885\0	u,Крит. +15,4\0	a,
27043	4	2	u,Макс. CP +120,045\0	u,Физ. Атк. +26,465\0	a,
27044	4	2	u,Макс. CP +120,045\0	u,Маг. Атк. +33,305\0	a,
27045	4	2	u,Макс. CP +120,045\0	u,Восстановление HP +0,235\0	a,
27046	4	2	u,Макс. CP +120,045\0	u,Восстановление MP +0,1\0	a,
27047	4	2	u,Макс. CP +120,045\0	u,Восстановление CP +0,235\0	a,
27048	4	2	u,Макс. CP +120,045\0	u,Уворот +1,4105\0	a,
27049	4	2	u,Макс. CP +120,045\0	u,Точность +2,0565\0	a,
27050	4	2	u,Макс. CP +120,045\0	u,Крит. +15,4\0	a,
27051	4	2	u,Физ. Атк. +26,465\0	u,Маг. Атк. +33,305\0	a,
27052	4	2	u,Физ. Атк. +26,465\0	u,Восстановление HP +0,235\0	a,
27053	4	2	u,Физ. Атк. +26,465\0	u,Восстановление MP +0,1\0	a,
